Human	Worm	Type	OMAGroup
6888	177202	1:1	1239943
79751	177518	1:m	
79751	181596	1:m	
6181	172401	1:m	
6181	178297	1:m	
5441	171763	1:1	1226617
66005	180447	1:1	961415
161	181163	n:1	
54472	172936	1:1	964350
9024	181471	n:1	963491
387266	182836	1:1	
1509	181444	1:1	
7136	177295	n:m	948598
7136	181124	n:m	
7136	181329	n:m	
7140	CAEEL19287	1:1	
6150	188274	n:1	1192737
3784	191699	1:1	969401
5002	177714	1:1	962599
4676	177636	n:1	
833	CAEEL00344	1:1	
114879	181495	n:1	1210393
57053	CAEEL07887	n:1	
4928	175852	1:1	
27315	188041	1:1	
391	181344	1:1	962128
6240	176301	1:1	710369
196120	188472	n:1	
390031	188472	n:1	
441584	188472	n:1	
143506	188472	n:1	
390033	188472	n:1	
6609	181323	1:1	
3611	175175	1:1	
8642	187783	n:1	
63875	171889	1:1	1240182
8495	181499	n:1	
8665	174478	1:1	1194472
6157	171767	1:1	
23258	174146	n:1	672697
440026	183942	1:1	824863
HUMAN04603	180792	n:1	
50862	186213	1:1	
9646	176335	1:1	960965
55742	176848	n:1	822337
7003	174005	n:1	
22800	174875	1:1	
1315	173656	1:1	696534
5682	178943	1:1	1218161
6207	175901	1:1	1223444
4925	181230	n:1	962572
3746	174331	n:m	
3746	191761	n:m	
3746	181269	n:m	
7166	174227	n:1	1200469
2965	176838	1:1	
7251	182474	1:1	961321
54503	186797	n:m	
54503	181109	n:m	962060
10553	6418622	1:1	
57084	176291	n:1	961719
159963	178127	n:m	
159963	CAEEL18404	n:m	
8424	174648	1:1	734388
55327	175089	n:1	
196294	CAEEL09005	1:1	
26610	182929	1:1	1241549
HUMAN05240	180769	n:1	965801
5954	180769	n:1	
10480	177236	1:1	1222715
55346	174353	n:1	
1479	174380	1:1	961385
55226	172182	1:1	662632
847	175085	1:m	854756
847	259738	1:m	
847	175086	1:m	
51074	181218	1:1	1177255
6506	180641	1:1	
51144	175895	n:m	
51144	184934	n:m	
51144	182292	n:m	
51144	182291	n:m	
51144	184337	n:m	
90139	180472	1:1	
55343	179342	1:1	859535
120071	187206	n:1	1205035
8525	174068	n:1	
1132	179962	n:1	
392	174751	n:1	961911
84364	173927	n:1	
53	173897	1:1	
10062	178821	1:1	
8567	180420	1:1	1156532
91252	181233	1:1	
5702	172238	1:1	960908
5913	CAEEL04739	1:1	963142
10658	173401	n:1	961646
114971	174381	1:1	1168458
23788	174207	n:1	
2346	180386	n:m	
2346	183230	n:m	
2346	CAEEL19895	n:m	
6749	172250	1:m	
6749	176052	1:m	1226213
26519	176580	1:1	923278
219537	173203	1:1	
HUMAN06067	175442	1:1	1243281
219541	175378	1:1	1168991
51075	175646	1:1	781383
9404	175831	1:1	963770
5007	176555	n:1	
54948	188040	1:1	1224371
27339	24104882	1:1	960987
1642	178156	1:1	670849
26007	178730	1:1	1211840
51524	3565047	1:1	
51259	13185304	1:1	909326
79869	177710	n:1	
746	179094	1:1	802332
2237	171917	1:1	1249877
9415	177819	n:m	
9415	177820	n:m	
3992	177819	n:m	
3992	177820	n:m	
3995	177819	n:m	
3995	177820	n:m	
HUMAN06511	186226	n:1	
7439	178264	1:m	
7439	182044	1:m	
2495	171934	n:m	
2495	179138	n:m	
1937	179522	1:1	856062
256364	180358	n:1	
26229	174517	n:1	
23193	179364	1:1	
80789	180207	1:1	
51035	171804	1:1	1218495
5436	171877	1:1	1212642
10482	CAEEL16392	n:1	
6811	179611	1:1	1210517
54663	180039	1:1	1173412
1128	179962	n:1	
25923	177059	n:1	
HUMAN06791	3565820	n:1	
HUMAN06837	191634	1:1	961322
114841035	188672	1:1	
51504	182240	1:1	1160045
283234	190137	1:1	
8986	172581	n:1	
9379	179503	n:1	
5837	178777	n:1	
5871	179072	n:1	
55561	179013	n:1	
10938	CAEEL14236	n:1	
23130	180949	n:1	
402	191632	n:1	
HUMAN07004	191632	n:1	
29901	178278	1:1	
HUMAN07019	180386	n:m	
HUMAN07019	183230	n:m	954216
HUMAN07019	CAEEL19895	n:m	
7542	178734	1:1	750785
738	172247	1:1	961297
7108	181886	n:1	
2197	179154	1:1	675886
84447	179612	1:1	1220728
740	187809	1:1	881838
23649	176439	n:1	
HUMAN07121	176439	n:1	
57410	179789	1:1	
10534	176479	1:1	925519
10524	179096	1:1	
254122	190399	n:1	
1521	181242	1:1	
9092	179140	1:1	1197833
84285	179417	1:1	
8815	176330	1:1	
10992	178542	1:1	
55690	179304	n:1	
64837	178942	1:1	965179
81876	178620	1:1	
254263	179801	n:1	
10897	179400	n:1	714872
11041	CAEEL02456	1:m	
11041	183769	1:m	
11041	3564773	1:m	
11041	184865	1:m	
11041	184798	1:m	
11041	3565692	1:m	
65003	181917	1:1	1189787
246330	178959	n:1	1173227
HUMAN07399	172631	1:1	1133922
HUMAN07406	260219	n:1	
582	260219	n:1	871385
254359	181606	1:1	
89	179709	n:1	
8722	179240	1:1	
6712	179077	n:1	961648
9986	3565253	1:1	
156	175223	n:1	
338692	175889	n:1	736418
6199	176554	1:1	962968
57175	176440	n:1	
9049	174092	n:1	
9600	175459	n:1	1189741
2950	24104550	1:m	
2950	176281	1:m	856117
2950	178725	1:m	
2950	189017	1:m	
4723	174696	1:1	1154975
254552	173857	1:1	
347853	176450	1:1	
4728	176023	1:1	
1119	177807	n:m	1151643
1119	180703	n:m	
1374	174912	1:1	918631
219927	3565999	1:1	1208763
8500	181255	n:1	969457
1717	181886	n:1	
55191	177900	1:1	952460
55298	182681	n:1	
10809	CAEEL08940	1:1	
5870	181759	n:1	
51287	36805044	1:1	
80227	171789	1:1	
51400	181999	1:1	955140
283209	176749	n:1	
9789	176703	1:1	1231414
408	180446	n:1	1198777
6188	175879	1:1	1232428
80168	175417	n:m	
80168	189077	n:m	
80168	179314	n:m	
4647	180539	1:1	736306
1207	177730	1:1	
282679	3565336	1:1	
79053	174542	1:1	
79731	176578	1:1	1184760
26011	175953	n:1	
5547	CAEEL08160	1:1	902006
27314	176476	1:1	962452
1740	180819	n:1	
8726	177657	1:1	
51501	185650	1:1	1244743
10873	175079	n:1	
65084	180740	1:1	1225360
23682	3565633	n:1	963058
10003	180386	n:m	
10003	183230	n:m	
10003	CAEEL19895	n:m	
26973	172138	n:1	
120114	CAEEL07368	n:1	
120103	173442	n:m	978871
120103	259544	n:m	
28970	182835	1:1	1148688
HUMAN08803	180325	n:1	
9440	180325	n:1	1239480
4361	179488	1:1	
54851	175656	1:1	
143689	172515	n:m	
143689	CAEEL10528	n:m	
51503	180069	1:1	961019
10929	173915	n:1	971878
143686	171593	n:1	
143684	172335	n:1	
8898	172148	n:1	1174777
143872	175849	n:1	
79659	172593	1:1	671271
60496	189061	1:m	
60496	180425	1:m	
HUMAN09140	175476	1:1	661137
54733	190665	n:1	1143086
54734	183941	n:1	965193
8065	179413	1:1	1214902
38	174161	1:1	1233077
1662	171810	1:1	963595
5519	175750	n:1	714821
79796	174633	n:1	1243727
79796	174633	n:1	
1737	179945	1:1	1246041
26521	175331	n:1	
6392	174692	1:1	
83875	173733	n:m	
83875	189959	n:m	1167860
5805	181823	1:1	
4684	180418	n:1	
9183	177587	1:1	1153083
4837	175868	n:m	
4837	176217	n:m	1164680
4837	179385	n:m	
25996	179411	1:1	746383
84811	176266	1:1	
8882	189162	1:1	1234546
23387	181756	1:1	
HUMAN09551	181125	n:1	1194843
143941	174562	1:1	894288
372	175940	1:1	750832
11181	172371	1:m	
11181	173388	1:m	
11181	179604	1:m	
1656	176061	1:1	
6230	177365	1:1	
51399	185357	1:1	1216113
HUMAN09756	179932	1:1	
10525	174033	1:m	
10525	181422	1:m	961024
55823	174661	1:1	1224316
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	177521	n:m	
3014	179339	n:m	
3014	177521	n:m	
1798	190436	1:1	1229444
25988	173348	1:1	
23365	184419	n:1	1162428
2900	174258	n:1	
219899	180700	1:1	1243603
3312	178507	1:1	961072
9638	180014	n:1	
1111	3565921	1:1	
83480	174509	1:1	
6734	185438	1:1	961098
55572	178073	1:1	1246565
28960	180315	1:1	
334	180783	n:1	
170689	180675	n:1	
112936	177764	1:1	696592
27034	173466	1:1	662655
81029	177870	n:1	831191
79602	177416	n:1	
775	177513	n:1	970061
2288	180371	1:1	
7004	174005	n:1	1195961
56341	180326	n:1	
928	192059	1:1	
6337	189058	n:m	
6337	189033	n:m	
9918	176509	1:1	
2597	174578	1:m	
2597	174603	1:m	
2597	180601	1:m	1245546
2597	3565504	1:m	
HUMAN10678	178970	n:m	
HUMAN10678	181421	n:m	962488
1108	178970	n:m	
1108	181421	n:m	
51147	178470	n:1	
8079	174849	1:1	
8078	172296	n:1	1174326
HUMAN10804	174844	1:1	1198214
2026	174423	n:1	
5777	24104681	n:1	969815
11331	174034	1:1	960978
10436	176488	1:1	
10162	175339	1:1	962401
9746	174006	n:1	342830
5830	174392	1:1	
6515	178634	n:1	961805
HUMAN10988	173638	n:1	
255308	171792	n:1	
55110	173073	n:1	1188410
5554	172036	1:1	
HUMAN11268	CAEEL10607	n:1	
653247	CAEEL10607	n:1	
118426	173955	1:1	1212184
1027	174261	1:1	
51202	176321	1:1	960909
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
8360	177522	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	177521	n:m	
55766	179339	n:m	
55766	177521	n:m	
397	180721	n:1	
2059	178411	n:1	
51071	173911	1:1	1156360
6579	181146	1:1	
79912	182937	1:1	1140008
5965	175246	1:1	961690
51026	173819	n:1	
2998	174924	n:1	
HUMAN11607	174798	1:1	
55500	188971	n:1	
586	181423	1:1	1247721
144363	3565757	1:1	
3845	178104	n:1	
55726	176839	1:1	
9412	3565572	1:1	1211834
23012	180655	n:1	961330
8496	181499	n:1	1191613
60488	180240	1:1	1221929
1663	176457	1:1	901416
160518	174146	n:1	
254013	183284	1:1	887314
636	183417	n:1	
10059	177336	1:1	
51067	177237	1:1	
84920	172855	n:1	1245283
144245	172855	n:1	
144402	178108	n:m	
144402	178508	n:m	
55605	178057	n:1	966517
225	24104835	n:1	961009
114134	175458	1:m	
114134	180205	1:m	
114134	180206	1:m	961326
80070	177850	n:1	962583
5756	181711	n:1	917298
81539	174201	1:1	
8909	186864	1:1	
10411	176432	n:1	
112	178949	n:1	
9416	175818	1:1	961116
HUMAN12370	175801	1:1	
121268	176327	n:1	
55716	176182	n:1	
10376	175419	n:1	
7846	175419	n:1	674832
10445	173133	1:1	
25766	176343	n:1	
91010	175346	n:1	
23017	179361	n:m	841410
23017	179362	n:m	
41	CAEEL00598	n:m	
41	182851	n:m	
41	184882	n:m	
41	185036	n:m	
41	181468	n:m	
6602	172018	n:m	
6602	176426	n:m	
2819	176399	n:1	
91012	177660	n:m	
91012	180743	n:m	
57609	3565539	n:1	
4891	177044	n:m	
4891	191766	n:m	
4891	180939	n:m	
9498	172613	n:1	
60673	177040	1:1	1234748
112802	178747	n:1	
3848	178747	n:1	
51350	178747	n:1	
3850	178747	n:1	
8435	181681	n:1	
5204	176013	1:1	1219605
60314	179392	1:1	1154443
HUMAN13169	174675	n:1	1207839
3678	176240	n:1	1220381
3071	178191	n:1	878522
5153	173200	1:1	
3679	176296	n:1	
HUMAN13276	CAEEL08733	n:1	
2647	CAEEL08733	n:1	795527
5959	172183	1:1	
10220	175237	1:1	
84324	175432	1:1	
4327	178748	1:1	
5869	172755	1:1	
6821	181638	1:1	906869
6231	173342	1:1	
2065	174462	n:1	
5036	177097	1:1	
HUMAN13434	176796	n:m	965826
HUMAN13434	186979	n:m	
HUMAN13477	4363058	1:1	
1431	176437	1:1	1247973
10330	175824	1:1	
9924	175974	1:1	808606
8914	176652	1:1	
27165	172547	n:m	
27165	174282	n:m	
506	175716	1:1	1198485
10728	175727	1:1	
5557	176358	1:1	1197343
8630	178983	n:m	
8630	186315	n:m	
121214	178983	n:m	
121214	186315	n:m	
4141	178089	1:1	1236081
10540	175837	1:1	
3798	176179	n:1	
79837	175344	n:1	
116986	176490	n:1	
1019	181472	1:1	
4234	174753	1:1	1239663
10102	179683	1:1	1232885
121227	176849	n:1	
23041	178153	1:1	872973
57460	183398	n:1	
552	188227	n:1	
283417	191628	n:1	
57522	178079	n:1	
11260	177581	1:1	
8091	173805	1:1	
84298	177582	1:1	
51643	181150	1:1	
55832	180125	n:1	1247001
5908	177709	n:1	961429
11052	177710	n:1	
8089	187434	1:1	1187868
10576	174421	1:1	847239
117177	186226	n:1	
196446	174614	1:m	1234066
196446	181229	1:m	
23011	187932	1:1	962079
121278	174227	n:1	
3747	174331	n:m	
3747	191761	n:m	
3747	181269	n:m	963386
11010	178251	1:1	
11103	179115	1:1	1191971
4673	177636	n:1	954795
114882	181495	n:1	
23390	186797	n:m	
23390	181109	n:m	
6857	174120	1:1	962018
4659	174484	n:1	
8825	175089	n:1	
8499	181255	n:1	
160335	178832	1:1	
490	177004	n:m	
490	177089	n:m	707421
8411	179832	1:1	
11163	259365	n:1	
7334	177073	n:1	828832
57458	182643	n:1	
55967	177056	1:1	
7181	CAEEL09572	n:1	
10988	178468	1:1	1249434
6636	176103	1:1	1164604
144193	175887	1:1	1240467
3034	181279	1:1	1241266
4048	177123	1:1	
5128	177615	n:1	
5250	178020	1:1	917341
HUMAN14862	CAEEL18181	n:1	
64431	174288	1:1	767166
246213	176291	n:1	
160728	178127	n:m	
160728	CAEEL18404	n:m	
400	174375	1:1	953179
56994	179935	n:m	
56994	184847	n:m	
55332	181626	n:1	1140438
51019	173954	1:1	964106
5053	174401	1:1	1200468
7184	178014	1:1	1191284
29915	177560	1:1	
HUMAN15069	177466	n:1	
160428	177999	n:1	950190
23325	190219	1:1	
255394	174353	n:1	
55703	175767	1:1	1185728
55188	177048	n:1	1224445
11137	178277	1:1	699505
11153	177990	1:1	
9733	178053	1:1	961299
23479	178344	1:1	1175507
HUMAN15222	176440	n:1	
55530	176250	1:1	
84749	175310	1:1	
7374	176633	1:1	1251334
32	173500	n:m	
32	178510	n:m	1209209
89910	176515	1:1	
326625	175661	1:1	1142929
4598	175863	1:1	
51228	175298	1:1	1187121
88455	175889	n:1	
28981	185183	1:1	
488	176512	n:1	707415
10094	176697	1:1	1179715
51184	176649	1:1	
51699	176424	1:1	
144715	176483	1:1	
160760	176497	1:1	
5501	3564807	1:1	
6311	174601	1:1	
8315	173917	1:1	1230078
80724	178962	1:1	662681
217	175691	n:m	950128
217	187001	n:m	
80018	175956	1:1	
5781	24104681	n:1	
22895	CAEEL07900	1:1	962879
79039	177054	1:1	961018
80024	182354	1:m	1178863
80024	176370	1:m	
80024	182575	1:m	
80024	CAEEL13978	1:m	
80024	190821	1:m	
196463	176698	1:1	736065
9904	178229	1:1	961023
84900	180437	n:1	
5985	176131	1:1	
5037	179168	1:1	
51347	175862	n:1	
5564	176552	n:m	
5564	181492	n:m	
11021	176560	1:1	963231
10985	CAEEL06961	1:1	
6175	172943	1:1	1228648
23409	181455	1:m	912665
23409	185876	1:m	
5319	182374	1:m	
5319	3896813	1:m	1210432
84274	176099	1:1	661114
84747	176519	n:1	
144404	175305	n:1	
3242	176473	1:1	1245842
5715	24104302	1:1	1203908
22877	176050	n:1	1232355
79369	266924	n:1	
HUMAN16019	176221	n:1	1223962
65082	176221	n:1	
8562	176556	1:1	1203999
9026	176224	n:1	
79720	178944	n:1	
HUMAN16083	171639	1:m	
HUMAN16083	172288	1:m	
57605	175459	n:1	
353116	175465	1:1	1246969
10959	179213	1:1	
57696	176292	1:1	
1967	176348	1:1	1199158
2967	176425	1:1	
949	181200	1:1	924444
57647	176207	1:1	1225077
65985	180992	1:1	961248
11211	178768	n:1	
9271	172515	n:m	
9271	CAEEL10528	n:m	
23504	189724	1:1	
5901	176503	1:1	960994
6433	175795	1:1	
80324	180123	1:1	
5426	173368	1:1	1251494
192111	174231	1:1	905083
55269	175844	1:1	
51084	171839	1:1	893492
8100	180585	1:1	961591
221143	176524	1:1	1223249
64328	177039	1:1	
10284	175534	1:1	961434
253832	191420	n:1	
221154	179837	n:1	
6445	184162	n:1	
4285	178290	1:1	874434
387911	179668	n:1	
338872	179668	n:1	
9107	176757	n:1	1174773
9818	173329	1:1	
51761	176666	n:1	780297
1024	172677	n:1	
219333	176381	n:1	962151
6144	176146	1:1	1215447
2321	181289	1:1	
5412	259497	1:1	
171222	175985	n:1	
3146	175890	n:1	
10808	176195	n:1	
145173	178968	1:1	1228689
10129	175697	n:1	
23047	175555	n:1	
5983	178259	1:1	960918
26960	175606	n:1	780049
4081	175607	n:1	1151903
9201	176639	n:1	
4093	176229	n:1	
29880	178822	1:1	775151
11340	174111	1:1	
7223	192056	n:1	
51569	176100	1:1	1246906
57511	179201	1:1	
10166	188387	n:1	
11193	173027	1:1	
79612	175189	n:1	
23078	CAEEL20153	1:1	924639
160851	177667	n:1	
387923	181669	1:1	
8848	174101	1:1	
55425	172526	1:1	
2963	180243	1:1	1245427
386618	191121	1:m	960272
386618	191124	1:m	
7178	172944	1:1	1144315
83548	171867	1:1	842283
2098	173220	1:1	766975
HUMAN17004	181280	1:1	948888
81617	174527	n:1	675758
3839	177533	n:1	971573
57213	184659	1:1	1226541
10206	181897	n:1	
79621	177682	1:1	
26512	24104403	n:1	865051
115825	174475	n:1	1220341
540	176770	n:1	707441
440138	176032	1:1	818912
9724	172192	n:1	967929
51028	179520	1:1	1243691
81550	178599	1:1	
22894	177875	1:1	960937
7347	259626	1:m	
7347	CAEEL14290	1:m	
7347	179039	1:m	
115207	CAEEL05740	1:1	
23077	179259	1:1	1185133
10082	181658	n:1	
23483	180525	1:1	960889
160897	181352	1:1	
10257	180691	1:1	
5611	171870	1:m	
5611	180983	1:m	960997
55757	181007	n:1	
5911	180011	n:1	
HUMAN17436	3565440	n:1	1247118
6564	177973	n:m	
6564	180919	n:m	
9375	181096	1:1	
171425	180018	1:1	811871
5095	181026	1:1	1147690
87769	259512	1:1	
84899	185454	1:1	962066
259232	175674	1:m	961083
259232	177379	1:m	
9358	187624	1:1	
7174	174018	1:1	948112
55082	176242	1:1	
3621	178470	n:1	
8874	181490	n:1	
23263	180571	n:1	
55795	175675	1:1	1226651
8451	174198	n:1	
79774	182185	1:1	
55208	175556	n:1	
22821	180530	1:1	
91875	171762	1:1	720131
10038	3565967	1:1	794689
55644	175399	1:1	1249977
328	173069	1:1	
4860	176851	1:1	
64745	173356	1:1	
122664	171948	n:1	1243960
51222	177144	1:1	
57096	174654	n:1	
11198	172984	1:1	1227293
1603	172370	1:1	920147
63874	178877	1:m	
63874	183295	1:m	
5018	173207	1:1	1174666
9056	184126	1:1	963455
55147	176922	n:1	
10419	175717	1:1	1240789
5693	173334	n:1	1240701
4624	172471	n:m	
4624	259839	n:m	
4624	179190	n:m	
4624	179676	n:m	
4624	181404	n:m	
4625	172471	n:m	
4625	259839	n:m	968609
4625	179190	n:m	
4625	179676	n:m	
4625	181404	n:m	
25983	172320	1:1	
10901	178658	n:m	728741
10901	179772	n:m	
317749	178658	n:m	
317749	179772	n:m	
80344	172518	1:1	
51016	172938	n:1	
29082	174091	n:m	
29082	CAEEL14681	n:m	
HUMAN18669	172910	n:1	
4738	172910	n:1	961067
51292	178834	n:1	1249786
5875	177113	1:1	
115817	175737	1:m	
115817	186621	1:m	
23256	185707	1:1	678908
29966	179445	n:1	
25831	177486	1:1	1199644
25938	179109	n:1	
394	178348	n:1	
HUMAN19002	190399	n:1	962808
11177	CAEEL04113	n:1	736333
6729	259584	1:1	960823
55012	172886	1:1	680025
HUMAN19088	179941	1:1	1218159
89874	181692	1:1	917326
6751	187897	n:1	968854
10484	180317	n:1	
HUMAN19161	189726	1:1	887928
122553	179394	1:1	1142838
84075	176980	1:1	
23116	179433	1:1	788764
55015	178955	1:1	961545
6235	175235	1:1	1194523
122769	173869	1:1	
6166	174695	n:1	1241518
4247	179562	1:1	822325
5427	177673	1:1	
9147	175303	1:1	1238470
382	191608	1:1	953176
79609	178175	1:1	
6655	178846	n:1	
79944	178733	1:1	1246561
27109	6418757	1:1	
HUMAN19304	179072	n:1	
51062	177059	n:1	
5836	178777	n:1	
145447	179172	n:1	
114088	178619	n:1	343860
81542	179040	1:1	
51637	174510	1:1	
22795	179770	n:1	
30001	173325	n:1	736733
5706	173384	1:1	960898
64841	179437	1:1	758134
10979	179972	n:1	1210364
80821	173795	1:1	672996
10175	179801	n:1	
2764	259487	n:1	
11169	179521	1:1	
93487	3565605	1:1	
57161	178959	n:1	
10640	177562	1:1	1247447
341880	177408	n:1	
5684	174571	1:1	1218157
26520	CAEEL10632	1:1	1175661
