Mouse	Human	type	OMAGroup
56530	10330	1:m	1179334
12974	1431	1:1	1247973
210582	HUMAN13477	1:1	
237615	283373	1:1	963249
53605	4673	1:1	954795
21664	22822	1:1	1157244
72002	283375	1:1	963630
52705	11103	1:1	1191971
69917	79035	1:1	832953
73690	11010	1:1	963944
69286	256710	n:1	970802
67537	144321	1:1	968655
MOUSE01468	256710	n:1	
67588	10193	1:1	1208371
353025	84698	1:1	1217144
68632	80177	1:1	1160540
22353	7432	1:1	1216684
268345	3747	1:1	963386
67141	26271	1:1	1229811
382423	552889	1:1	415026
108853	54516	1:1	1247932
56533	26575	1:1	
MOUSE01496	HUMAN14340	1:1	806362
216343	121278	1:1	1200472
66687	64786	1:1	965553
216344	23011	1:1	962079
68094	6601	1:1	963652
67226	55266	1:1	1204415
66816	83591	1:1	723800
216345	196441	1:1	1135694
17904	HUMAN13434	1:1	
216459	140465	1:1	964792
14160	8549	1:1	965932
216350	7103	1:1	718127
23943	23344	1:1	965087
103284	84872	1:1	1207103
18813	5036	1:1	1249433
13867	2065	1:1	967515
19156	HUMAN01568	1:1	1185657
27370	6231	1:1	1247838
19279	5801	1:1	963393
619332	54457	n:1	
22781	64375	1:1	964600
211389	6821	1:1	906869
19344	5869	1:1	961232
19263	5787	1:1	966953
58802	27345	1:1	
18390	4988	1:1	967395
12566	1017	1:1	961701
20431	6490	1:1	1204467
13139	1606	1:1	
78428	84305	1:1	1216688
58223	4327	1:1	1188074
320495	26034	1:1	1211276
74330	85406	1:1	1185554
215748	154043	1:1	736711
66118	84324	1:1	962277
77777	80328	1:1	
66844	29095	1:1	
14561	10220	1:1	1211677
237253	84918	1:1	1191921
12512	967	1:1	718104
19682	5959	1:1	
14533	HUMAN13276	1:m	
14533	2647	1:m	795527
MOUSE01654	5110	1:1	1170670
69912	348995	1:1	1204656
16798	9113	1:1	967091
72068	4848	1:1	964928
16404	3679	1:1	1220383
71664	196410	1:1	661142
MOUSE01685	11104	1:1	964321
544748	121129	n:1	
258315	121129	n:1	835321
237558	196446	1:1	1234066
215751	116254	1:1	1180021
216363	117177	1:1	1153541
67418	85313	1:1	961352
382427	144453	1:1	1209851
237560	376132	1:1	975668
258281	403284	1:1	352907
257985	283365	n:1	353221
258542	390321	n:1	
68652	23118	1:1	343608
258544	254786	1:1	977775
338362	10090	1:1	959741
MOUSE01749	390323	1:1	983128
258932	341416	1:1	352895
258933	121130	1:1	353359
70097	23328	1:1	1160667
258934	390321	n:1	986249
258068	283365	n:1	
320825	389432	1:1	873607
258930	403282	1:1	353737
MOUSE01798	390326	n:1	990524
258252	390326	n:1	
259165	390327	n:1	355285
MOUSE01815	390327	n:1	
258772	254783	1:1	983127
258672	441639	n:1	351777
258671	441639	n:1	
78808	134957	1:1	672736
11923	58158	1:1	
67596	9840	1:1	1185724
MOUSE01867	79747	1:1	1190858
67844	10981	1:1	
14816	2911	1:1	
MOUSE01878	64072	1:1	971362
74048	64115	1:1	1197407
100302688	414152	1:1	1190117
71279	55315	1:1	673898
268281	HUMAN86905	1:1	965964
71865	84085	1:1	1170802
107449	219699	1:1	340136
13853	7957	1:1	954761
13180	5092	1:1	922953
20397	8879	1:1	1183922
22288	7402	1:1	965167
74732	8676	1:1	780113
66125	83443	1:1	1223995
65971	219793	1:1	1189638
MOUSE01931	140766	1:1	962878
18646	5551	1:1	1164780
27355	27143	1:1	814155
18119	4838	1:1	913375
13688	1979	1:1	697301
216011	55222	1:1	965907
237362	64106	1:1	969538
67895	5464	1:1	
20224	56681	1:1	953175
71767	219743	1:1	951324
71361	84883	1:1	1140000
22634	5325	1:1	
404634	55506	1:1	969790
75122	153918	1:1	1187248
353258	84946	1:1	1243742
MOUSE01967	9749	1:1	1180931
66848	2519	1:1	
12817	1305	1:1	964025
56535	8504	1:1	1206339
66757	134637	1:1	877640
69894	219738	1:1	1179984
11925	50674	1:1	938213
66253	51390	1:1	873049
70423	23555	1:1	718111
15273	3097	1:1	341830
215798	57211	1:1	1171696
125179616	51534	1:1	961472
18101	4829	1:1	963779
76743	100126572	1:1	336149
17684	10370	1:1	1140512
378431	167838	1:1	968437
380629	51696	1:1	1197418
73112	58527	1:1	1143691
19707	85021	1:1	963554
100045792	345930	1:1	1193725
215814	25901	1:1	1152111
215819	57224	1:1	1172273
56016	23593	1:1	1182914
215821	57221	1:1	1223590
64058	64065	1:1	361658
21929	7128	1:1	1180910
94222	167826	1:1	1180218
15979	3459	1:1	1217126
237310	116379	1:1	1232157
237313	53832	1:1	1136436
76157	340146	1:1	859540
18634	5191	1:1	960986
26408	4217	1:1	1214392
17761	9053	1:1	963953
72567	9774	1:1	343264
71804	113115	1:1	1235527
29863	27115	1:1	697801
52906	54806	1:1	962980
17863	4602	1:1	1198811
56422	10767	1:1	961820
237320	64577	1:1	950130
20393	6446	1:1	962754
379043	HUMAN86983	1:m	1141320
379043	135250	1:m	
379043	353091	1:m	
379043	154064	1:m	
379043	79465	1:m	
353169	154091	1:1	961479
237336	9519	1:1	708772
MOUSE02131	6943	1:1	1193619
20042	6206	1:1	1214167
MOUSE02141	116843	1:1	963414
22361	8876	1:1	1166657
111174	134864	1:1	975508
209512	9287	1:1	969675
215854	9038	1:1	1193926
215855	319100	1:1	987166
215859	83551	n:1	
382348	83551	n:1	1082599
494546	83551	n:1	
503558	134860	1:1	976334
53331	8417	1:1	780105
59012	26002	1:1	697408
14219	1490	1:1	347484
18605	5167	1:1	1161862
209558	5169	1:1	1161864
MOUSE02176	9439	1:1	1182098
11846	383	1:1	1234342
432442	9465	1:1	802456
13822	2037	1:1	965115
100504474	100507203	1:1	1148581
77220	114801	1:1	346496
268288	154075	1:1	1181566
237339	84456	1:1	946132
MOUSE02246	65217	1:1	961855
71236	27156	1:1	1216615
14687	2781	1:1	1245107
76877	HUMAN59512	1:1	965474
110279	613	1:1	1242097
74392	23384	1:m	967157
74392	HUMAN59607	1:m	
11540	135	1:1	
68778	83606	1:1	834621
103149	51733	1:1	952463
67332	6634	1:m	738600
67332	6634	1:m	
192734	388886	1:1	944803
14598	HUMAN59374	1:m	
14598	2678	1:m	1211868
23887	2687	1:1	1211872
71733	56241	1:1	1139324
13202	100037417	1:m	
13202	HUMAN59576	1:m	
13202	HUMAN59581	1:m	1211747
75886	25774	1:1	856132
14872	653689	1:m	856094
14872	HUMAN59583	1:m	
17319	4282	1:1	1211744
70377	91319	1:1	928410
20587	6598	1:1	698867
17385	4320	1:1	1222885
103172	400916	1:1	1242848
333670	150248	1:1	680252
22364	29802	1:1	815158
64453	140883	1:1	346208
64452	6527	1:1	
15468	3275	1:1	904868
20203	6285	1:1	
MOUSE02369	23181	1:1	965218
18541	5116	1:1	965243
MOUSE02373	128092249	1:1	414393
76964	54058	1:1	1198377
216119	54059	1:1	1240282
54387	8888	1:1	1219419
16987	4047	1:1	1218857
76573	84221	1:1	1137194
14317	10841	1:1	1181367
12834	1292	1:1	343088
12833	1291	1:1	969722
59093	HUMAN58977	1:1	961660
20509	6573	1:1	1190635
12822	80781	1:1	966458
80294	23275	1:1	1212105
110532	104	1:1	808670
108707	85395	1:1	1217728
16414	HUMAN58930	1:1	966415
108705	754	1:1	1186326
20610	6613	n:m	
20610	6612	n:m	
MOUSE02436	6613	n:m	
MOUSE02436	6612	n:m	
22213	7327	1:1	828830
252974	54084	1:1	769572
100502831	386677	n:m	
100502831	386682	n:m	
100502831	386680	n:m	
100502831	386681	n:m	
100502831	386676	n:m	
100502831	386678	n:m	983442
100502831	386685	n:m	
670895	386677	n:m	
670895	386682	n:m	
670895	386680	n:m	
670895	386681	n:m	
670895	386676	n:m	
670895	386678	n:m	
670895	386685	n:m	
16697	386683	n:m	982534
16697	353323	n:m	
16697	353332	n:m	
100009614	386683	n:m	
100009614	353323	n:m	
100009614	353332	n:m	
100502921	386683	n:m	
100502921	353323	n:m	
100502921	353332	n:m	975441
16694	386683	n:m	
16694	353323	n:m	996634
16694	353332	n:m	
100502953	386683	n:m	
100502953	353323	n:m	
100502953	353332	n:m	
MOUSE02449	386677	n:m	
MOUSE02449	386682	n:m	
MOUSE02449	386680	n:m	
MOUSE02449	386681	n:m	
MOUSE02449	386676	n:m	
MOUSE02449	386678	n:m	
MOUSE02449	386685	n:m	
77763	386677	n:m	
77763	386682	n:m	
77763	386680	n:m	
77763	386681	n:m	
77763	386676	n:m	
77763	386678	n:m	
77763	386685	n:m	
100041250	386677	n:m	978596
100041250	386682	n:m	
100041250	386680	n:m	
100041250	386681	n:m	
100041250	386676	n:m	
100041250	386678	n:m	
100041250	386685	n:m	
100041261	386677	n:m	
100041261	386682	n:m	
100041261	386680	n:m	
100041261	386681	n:m	
100041261	386676	n:m	
100041261	386678	n:m	
100041261	386685	n:m	994603
102640500	386677	n:m	
102640500	386682	n:m	
102640500	386680	n:m	
102640500	386681	n:m	
102640500	386676	n:m	
102640500	386678	n:m	
102640500	386685	n:m	
100041281	386677	n:m	
100041281	386682	n:m	
100041281	386680	n:m	
100041281	386681	n:m	
100041281	386676	n:m	
100041281	386678	n:m	
100041281	386685	n:m	
634504	386677	n:m	
634504	386682	n:m	
634504	386680	n:m	977157
634504	386681	n:m	
634504	386676	n:m	
634504	386678	n:m	
634504	386685	n:m	
675294	386677	n:m	
675294	386682	n:m	
675294	386680	n:m	
675294	386681	n:m	
675294	386676	n:m	
675294	386678	n:m	
675294	386685	n:m	
100503388	386677	n:m	
100503388	386682	n:m	
100503388	386680	n:m	
100503388	386681	n:m	
100503388	386676	n:m	
100503388	386678	n:m	
100503388	386685	n:m	
670880	386677	n:m	
670880	386682	n:m	
670880	386680	n:m	
670880	386681	n:m	
670880	386676	n:m	
670880	386678	n:m	
670880	386685	n:m	
100040299	386677	n:m	
100040299	386682	n:m	
100040299	386680	n:m	
100040299	386681	n:m	
100040299	386676	n:m	
100040299	386678	n:m	
100040299	386685	n:m	
100191037	386677	n:m	
100191037	386682	n:m	
100191037	386680	n:m	
100191037	386681	n:m	
100191037	386676	n:m	
100191037	386678	n:m	
100191037	386685	n:m	
544710	386677	n:m	
544710	386682	n:m	
544710	386680	n:m	
544710	386681	n:m	
544710	386676	n:m	983430
544710	386678	n:m	
544710	386685	n:m	
622629	386677	n:m	
622629	386682	n:m	
622629	386680	n:m	
622629	386681	n:m	
622629	386676	n:m	
622629	386678	n:m	
622629	386685	n:m	
100041351	386677	n:m	
100041351	386682	n:m	989842
100041351	386680	n:m	
100041351	386681	n:m	
100041351	386676	n:m	
100041351	386678	n:m	
100041351	386685	n:m	
237387	81543	1:1	953867
28240	7226	1:1	858004
67884	755	1:1	962191
18641	5211	1:1	1206400
11634	326	1:1	1225066
54427	29947	1:1	1137199
50723	23308	1:m	
50723	23308	1:m	946247
28295	102724023	1:m	
28295	HUMAN58038	1:m	1250040
28295	8209	1:m	
110816	102724159	1:m	
110816	5822	1:m	960932
216131	7109	1:1	1212274
28169	56894	1:1	939226
18114	8568	1:1	821982
13014	1476	1:1	718488
216134	8566	1:1	945250
216136	10994	1:1	1250363
71709	85360	1:1	965757
257883	126370	1:1	351613
12365	23581	1:1	
70976	126402	1:1	1166585
20513	6511	1:1	1242535
258305	26658	1:1	352887
259042	26333	1:1	
50784	8612	1:1	788271
70427	54531	1:1	1225341
21830	51298	1:1	1188465
237397	126567	1:1	1166566
216148	25759	1:1	1197011
382384	284451	1:1	964030
110012	91978	1:1	878540
216150	997	1:1	828869
16904	3004	1:1	971639
12215	682	1:1	1142425
15166	610	1:1	966236
216151	5442	1:1	903236
67112	27006	1:1	911335
70294	55658	1:1	965253
83554	10272	1:1	962409
73106	400668	1:1	965446
18483	5064	1:1	1216437
78906	126353	1:1	1206522
19205	5725	1:1	1187334
19152	5657	1:1	974776
50701	1991	1:1	982865
11537	1675	1:1	964817
MOUSE02660	10025	1:1	1137849
109284	91300	1:1	1185247
114229	84634	1:1	966867
13496	1820	1:1	1233949
216156	57418	1:1	961631
170483	116444	1:1	940628
216157	91304	1:1	671740
12798	HUMAN39298	1:1	
27403	10347	1:1	965891
70719	23526	1:1	968360
66420	5434	1:1	1240134
625249	2879	1:1	1177816
216161	22904	1:1	1160429
20869	6794	1:1	962979
100503659	255057	1:1	873412
66043	513	1:1	1226297
59090	90007	1:1	1170774
12696	1153	1:1	962302
69770	55009	1:1	871789
13637	1943	1:1	1202588
68114	HUMAN39412	1:1	1210362
75406	374291	1:1	
14431	2593	1:1	785767
70248	26528	1:1	
20054	6209	1:1	1244977
23805	10297	1:1	1209148
66374	HUMAN39454	1:1	1214160
18551	54760	1:1	969702
66548	339366	1:1	938188
237400	399664	1:1	1227219
17192	53615	1:1	1215431
66594	10975	1:m	763690
66594	10975	1:m	
21423	HUMAN39507	1:1	1209072
246086	390874	1:1	
67331	148229	1:1	780304
66932	57455	1:1	789928
118445	83855	1:1	978014
216169	81926	1:1	955245
56214	113178	1:1	814085
100113398	113179	n:1	1229601
100113398	113179	n:1	
103236	1455	1:1	963776
MOUSE02808	55643	1:1	962198
17347	2872	1:1	968954
208228	126308	1:1	903287
71564	113177	1:1	1211140
11776	8943	1:1	715062
208266	84444	1:1	1224658
78670	55111	1:1	1219135
20222	8175	1:1	967324
11705	268	1:1	1215581
71912	126306	1:1	971569
18245	4946	1:1	415486
237403	645191	1:1	972109
66094	51690	1:1	1217102
73218	56928	1:1	1198396
432478	360200	1:1	965982
30055	26517	1:1	1239987
MOUSE02862	84823	1:1	966997
17873	4616	1:1	1194330
14708	2788	1:1	1170168
208666	148252	1:1	967917
106947	29985	1:1	961651
52551	6449	1:1	967596
50492	7064	1:1	874433
208677	84699	1:1	1139036
26396	5605	1:1	961736
16969	51341	1:1	967655
59004	51588	1:1	969946
13629	1938	1:1	
13144	1613	1:1	
69564	27231	1:1	928386
16467	85300	1:1	1173450
103406	23217	1:1	1198894
17179	4145	1:1	972326
66047	116541	1:1	1239465
57267	9546	1:1	1214449
27375	HUMAN39773	1:1	1195774
18717	23396	1:1	719796
70312	58509	1:1	961194
21390	6915	1:1	1175404
15353	10362	1:1	1196354
73822	126321	1:1	961463
432479	100128569	1:1	1156518
56371	51343	1:1	961758
102115	83475	n:1	960941
MOUSE02957	83475	n:1	
117934532	122405565	1:1	410022
72273	284422	1:1	894600
18029	4782	1:1	1205256
319586	60680	1:1	965883
103425	56926	1:1	1200140
13611	8698	1:1	970779
14676	2769	1:1	1245122
14672	2767	1:1	1245117
14797	166	1:1	1232659
21886	7089	1:1	966960
114606	79816	1:1	1143833
50721	51548	1:1	912667
70615	HUMAN39841	1:1	
102635990	84226	1:1	827452
544717	728568	1:1	1191713
21665	6996	1:1	1163570
74782	83468	1:1	693737
67933	29915	1:1	962179
18045	4801	1:1	967023
50493	HUMAN15069	1:1	1140016
66341	493861	1:1	880280
58250	50515	1:1	849886
338365	84102	1:1	951546
28109	121053	1:1	720616
216188	160428	1:1	950190
319277	23325	1:1	1186177
216190	55198	1:1	1201793
14051	2070	1:1	672901
237847	146760	1:1	
258198	HUMAN55632	n:m	
258198	401993	n:m	
258198	343563	n:m	352313
258261	HUMAN55632	n:m	
258261	401993	n:m	352495
258261	343563	n:m	
258373	391189	1:1	352779
246198	4302	1:1	1167524
216781	25893	1:1	970164
445007	79902	1:1	1183552
MOUSE03111	284106	1:1	923186
68275	6117	1:1	1227483
404346	343171	n:1	
216783	391191	n:1	
258493	391191	n:1	
258494	391191	n:1	352569
319822	114826	1:1	1201180
257931	343171	n:1	
258064	391191	n:1	
103573	7514	1:1	1155518
257917	343172	1:m	
257917	391195	1:m	
257917	127064	1:m	
22658	7703	1:1	761498
26446	5691	1:1	1240697
75429	440585	1:1	
260302	23163	1:1	962844
108083	8396	1:1	719792
50529	51081	1:1	1247660
67480	54883	1:1	961412
20317	5176	1:1	1220853
72215	388381	1:1	418705
65019	9349	1:1	1251061
MOUSE03187	149603	1:1	990498
69674	57409	1:1	1152855
56631	51127	1:1	975459
319162	3014	n:m	
319162	55766	n:m	
319162	723790	n:m	
319162	723790	n:m	
319162	8338	n:m	
319162	317772	n:m	
319162	92815	n:m	1236964
319162	221613	n:m	
319162	8335	n:m	
319162	8334	n:m	
319162	HUMAN83402	n:m	
319162	3013	n:m	
319162	8335	n:m	
319162	8969	n:m	
319162	85235	n:m	
319162	8969	n:m	
319162	8331	n:m	
319162	8969	n:m	
319162	8969	n:m	
319162	8969	n:m	
18816	5345	1:1	1220826
94091	81559	1:1	976028
67283	60386	1:1	917332
16796	3927	1:1	
72973	494188	1:1	1179316
192652	124997	1:1	1196540
380712	727910	1:1	
